ep,trading_days,annualReturn_pct,mdd,sharpeRatio,final_capital,volatility,calmarRatio,sterlingRatio,netProfit,netProfit_pct,winRate,vol_max,vol_min,vol_avg,risk_max,risk_min,risk_avg,riskRaw_max,riskRaw_min,riskRaw_avg,dailySR_max,dailySR_min,dailySR_avg,dailySR_wocbf_max,dailySR_wocbf_min,dailySR_wocbf_avg,dailyReturn_pct_max,dailyReturn_pct_min,dailyReturn_pct_avg,sigReturn_max,sigReturn_min,mdd_high,mdd_low,mdd_high_date,mdd_low_date,sharpeRatio_wocbf,reward_sum,final_capital_wocbf,cbf_contribution,risk_downsideAtVol,risk_downsideAtVol_daily_max,risk_downsideAtVol_daily_min,risk_downsideAtVol_daily_avg,risk_downsideAtValue_daily_max,risk_downsideAtValue_daily_min,risk_downsideAtValue_daily_avg,cvar_max,cvar_min,cvar_avg,cvar_raw_max,cvar_raw_min,cvar_raw_avg,solver_solvable,solver_insolvable,cputime,systime
1,1255,0.17122118239746964,0.17275146579788003,1.0198752606495896,2197013.4128058567,0.15163244797110853,6.5908376718624115,1.4641775598351818,1197013.4128058567,1.1970134128058567,0.545816733067729,0.1538737344897224,0.03885834775564708,0.1341377772286115,0.03111881992925607,0.0008824696972307906,0.00822137803718074,0.03584947484101338,0.0008824696912996508,0.008389764457939961,29138.373657228338,-19.320060209953574,127.06175591311273,84573.5886797777,-19.32005978701205,189.50091367766478,0.038253354313475214,-0.046469186519896066,0.0006730369889884367,68331.33978610858,-101121.69204427162,1315434.3905643914,1088191.1714334518,2015-05-18,2016-02-11,1.0386065421766033,784.6762261896604,2245568.3521636263,1254.000000213753,0.11079020480630503,0.11169277971855068,0.0,0.09677149161638851,1.3323976174513295,-0.012153835328572726,0.43757920002893885,0.10727614906936718,-0.0039058921401827346,0.016253503225422832,0.11533995739689909,-0.0039058921152510286,0.01658690946370914,1255,0,23.40625,23.717883999997866
2,1255,0.17106730507202683,0.172142355220261,1.0219644103841468,2195576.2761943266,0.1511719033483315,6.608737107456818,1.4656624592993779,1195576.2761943266,1.1955762761943265,0.5490039840637451,0.1531730160331386,0.02840917748037425,0.1329125533573364,0.031119745802492382,0.0008659431319174724,0.0081975702942657,0.03585193919257128,0.0008659431166513812,0.008365820422778728,23052.087979964937,-22.790448500006963,121.45200119944768,73093.5249018814,-22.790448714729894,178.56159651947158,0.03728693643945371,-0.04652509150619761,0.0006722429694222502,65501.68523098389,-101413.91128407884,1318213.4416776064,1091293.0751442171,2015-05-18,2016-02-11,1.0430701655101433,756.2900944099407,2247417.941140787,1253.9999982205368,0.11055626411761785,0.11118872754465513,0.0,0.09575021276668555,1.3378120190736587,-0.026438767565507892,0.4385960640273084,0.10728373215739637,-0.003909151672410408,0.016215871651131135,0.11534861712165367,-0.003909151764083681,0.01654921298315392,1255,0,23.609375,23.46434130000125
3,1255,0.17193777251063103,0.17257638779155282,1.0284333754418735,2203715.9090676624,0.15106741595572815,6.682012008168701,1.4764545024308564,1203715.9090676624,1.2037159090676623,0.549800796812749,0.15302758469443659,0.027821711288647955,0.1328718661698543,0.031120172062979325,0.0008681877397650913,0.008199180633668762,0.035853348595015454,0.0008681877081812821,0.00836763611133313,24692.4178317929,-22.92247323953355,121.9768414970926,77671.69721795393,-22.922472371962133,185.50154230194087,0.037569512375305786,-0.04663626635611455,0.0006751271962073795,66914.62981154304,-101853.03405208443,1319598.8747606752,1091867.2676206802,2015-05-18,2016-02-11,1.0456421409756569,759.9784559452431,2250387.189630824,1253.9999998941253,0.11040814429082511,0.11105483489145031,0.0,0.09579685953607432,1.3415949384071304,-0.026127075747017114,0.44044881499717087,0.10728849038255722,-0.003911977932722618,0.01621921968273455,0.11535544304239716,-0.00391197790793885,0.016553010635639017,1255,0,38.859375,42.40329439999914
4,1255,0.17164731656478027,0.17211037272981033,1.0263297661892332,2200997.2152127353,0.15109404566971144,6.658023619204964,1.472934891562945,1200997.2152127353,1.2009972152127353,0.5545816733067729,0.15338099731284746,0.020987453908159624,0.13283809527794188,0.03112043990480893,0.0008696418294178764,0.008198753117848833,0.035854058547061106,0.0008696418204403622,0.008367160628421876,29124.518066560235,-23.57573504671632,125.55590801030908,84900.6087099846,-23.575734558842374,188.96609860462164,0.03824970360785849,-0.045791096239498674,0.0006741590961187043,65841.89584176475,-99965.60087166424,1319017.081287723,1092000.5597903065,2015-05-18,2016-02-11,1.0443175230162756,758.7554168313743,2248422.339021045,1253.9999987029641,0.11044531868338242,0.11137574795130194,0.0,0.09576307522752536,1.3409031122310644,-0.02602009593423793,0.44013029915549995,0.10728661997509589,-0.003911709811893222,0.016218279072145722,0.11535331094210628,-0.0039117097433841175,0.01655196908046099,1255,0,26.09375,26.1453462999998
