open,high,low,close,volume,date
16019.490234375,16058.400390625,16015.2900390625,16025.5302734375,,12/09/2013
16024.1201171875,16029.0595703125,15969.5302734375,15973.1298828125,,12/10/2013
15970.75,15997.2197265625,15827.7001953125,15843.5302734375,,12/11/2013
15844.8203125,15845.1103515625,15703.7900390625,15739.4296875,,12/12/2013
15745.66015625,15792.7998046875,15717.919921875,15755.3603515625,,12/13/2013
15759.599609375,15930.3095703125,15759.599609375,15884.5703125,,12/16/2013
15884.0595703125,15917.9599609375,15836.4501953125,15875.259765625,,12/17/2013
15876.5703125,16173.0400390625,15808.919921875,16167.9697265625,,12/18/2013
16162.509765625,16194.7197265625,16121.5400390625,16179.080078125,,12/19/2013
16178.5703125,16287.83984375,16178.5703125,16221.1396484375,,12/20/2013
16225.25,16318.1103515625,16225.25,16294.6103515625,,12/23/2013
16295.7001953125,16360.599609375,16295.7001953125,16357.5498046875,,12/24/2013
16370.9697265625,16483.0,16370.9697265625,16479.880859375,,12/26/2013
16486.369140625,16529.009765625,16461.23046875,16478.41015625,,12/27/2013
16484.509765625,16504.349609375,16476.869140625,16504.2890625,,12/30/2013
16512.380859375,16588.25,16511.48046875,16576.66015625,,12/31/2013
16572.169921875,16573.0703125,16416.490234375,16441.349609375,,01/02/2014
16456.890625,16518.740234375,16439.30078125,16469.990234375,,01/03/2014
16474.0390625,16532.990234375,16405.51953125,16425.099609375,,01/06/2014
16429.01953125,16562.3203125,16429.01953125,16530.939453125,,01/07/2014
16527.66015625,16528.880859375,16416.689453125,16462.740234375,,01/08/2014
16471.41015625,16525.349609375,16378.6103515625,16444.759765625,,01/09/2014
16453.619140625,16487.650390625,16379.01953125,16437.05078125,,01/10/2014
16434.029296875,16453.130859375,16240.599609375,16257.9404296875,,01/13/2014
16261.990234375,16373.919921875,16260.830078125,16373.8603515625,,01/14/2014
16378.0302734375,16505.279296875,16376.7802734375,16481.939453125,,01/15/2014
16477.69921875,16477.69921875,16375.5595703125,16417.009765625,,01/16/2014
16408.01953125,16495.259765625,16378.7998046875,16458.560546875,,01/17/2014
16459.26953125,16520.599609375,16316.25,16414.439453125,,01/21/2014
16420.48046875,16453.490234375,16332.98046875,16373.33984375,,01/22/2014
16371.990234375,16372.9599609375,16140.580078125,16197.349609375,,01/23/2014
16203.2900390625,16203.2900390625,15879.1103515625,15879.1103515625,,01/24/2014
15879.0498046875,15942.76953125,15783.5498046875,15837.8798828125,,01/27/2014
15840.83984375,15945.8896484375,15840.83984375,15928.5595703125,,01/28/2014
15927.080078125,15927.080078125,15708.98046875,15738.7900390625,,01/29/2014
15743.0302734375,15907.5302734375,15733.26953125,15848.6103515625,,01/30/2014
15847.1904296875,15847.1904296875,15617.5498046875,15698.849609375,,01/31/2014
15697.6904296875,15708.5400390625,15356.169921875,15372.7998046875,,02/03/2014
15372.9296875,15481.849609375,15356.6201171875,15445.240234375,,02/04/2014
15443.0,15478.2099609375,15340.6904296875,15440.23046875,,02/05/2014
15443.830078125,15632.08984375,15443.0,15628.5302734375,,02/06/2014
15630.6396484375,15798.509765625,15625.5302734375,15794.080078125,,02/07/2014
15793.6298828125,15801.7900390625,15733.6904296875,15801.7900390625,,02/10/2014
15804.169921875,16027.1904296875,15803.400390625,15994.76953125,,02/11/2014
15993.0400390625,16036.5595703125,15928.75,15963.9404296875,,02/12/2014
15946.990234375,16039.3701171875,15863.25,16027.58984375,,02/13/2014
16018.080078125,16175.5498046875,15985.3896484375,16154.3896484375,,02/14/2014
16153.9697265625,16167.330078125,16107.0400390625,16130.400390625,,02/18/2014
16126.23046875,16225.7197265625,16031.66015625,16040.5595703125,,02/19/2014
16044.150390625,16161.6396484375,16006.58984375,16133.23046875,,02/20/2014
16135.919921875,16191.919921875,16093.7998046875,16103.2998046875,,02/21/2014
16102.26953125,16300.0400390625,16102.26953125,16207.1396484375,,02/24/2014
16207.33984375,16254.259765625,16147.25,16179.66015625,,02/25/2014
16180.3603515625,16252.349609375,16155.8603515625,16198.41015625,,02/26/2014
16197.7001953125,16276.2802734375,16159.8095703125,16272.650390625,,02/27/2014
16273.23046875,16398.94921875,16226.08984375,16321.7099609375,,02/28/2014
16321.7099609375,16321.7099609375,16071.25,16168.0302734375,,03/03/2014
16169.3203125,16419.490234375,16169.3203125,16395.880859375,,03/04/2014
16395.880859375,16406.55078125,16343.9599609375,16360.1796875,,03/05/2014
16360.5595703125,16450.169921875,16360.5595703125,16421.890625,,03/06/2014
16424.529296875,16505.69921875,16398.859375,16452.720703125,,03/07/2014
16453.099609375,16453.099609375,16334.2001953125,16418.6796875,,03/10/2014
16419.390625,16460.330078125,16325.169921875,16351.25,,03/11/2014
16350.669921875,16364.740234375,16260.0302734375,16340.080078125,,03/12/2014
16341.5498046875,16405.0703125,16084.099609375,16108.8896484375,,03/13/2014
16106.3203125,16165.0498046875,16046.990234375,16065.669921875,,03/14/2014
16066.3701171875,16270.33984375,16066.3701171875,16247.2197265625,,03/17/2014
16245.9296875,16369.9404296875,16245.9296875,16336.1904296875,,03/18/2014
16335.7099609375,16363.3203125,16126.2900390625,16222.169921875,,03/19/2014
16221.98046875,16353.98046875,16160.330078125,16331.0498046875,,03/20/2014
16332.6904296875,16456.44921875,16290.7900390625,16302.76953125,,03/21/2014
16303.2802734375,16380.509765625,16215.5595703125,16276.6904296875,,03/24/2014
16279.2001953125,16407.1796875,16279.2001953125,16367.8798828125,,03/25/2014
16370.7099609375,16466.0390625,16268.990234375,16268.990234375,,03/26/2014
16268.669921875,16300.9404296875,16191.7900390625,16264.23046875,,03/27/2014
16267.76953125,16414.859375,16267.76953125,16323.0595703125,,03/28/2014
16324.2197265625,16480.849609375,16324.2197265625,16457.66015625,,03/31/2014
16458.05078125,16565.73046875,16457.599609375,16532.609375,,04/01/2014
16532.80078125,16588.189453125,16506.599609375,16573.0,,04/02/2014
16572.359375,16604.150390625,16527.599609375,16572.55078125,,04/03/2014
16576.01953125,16631.630859375,16392.76953125,16412.7109375,,04/04/2014
16414.150390625,16421.380859375,16244.009765625,16245.8701171875,,04/07/2014
16245.16015625,16296.8603515625,16180.2802734375,16256.1396484375,,04/08/2014
16256.3701171875,16438.8203125,16256.3701171875,16437.1796875,,04/09/2014
