capital_policy_1,dailyReturn_policy_1,reward_policy_1,strategyVolatility_policy_1,risk_policy_1,risk_wocbf_policy_1,capital_wocbf_policy_1,dailySR_policy_1,dailySR_wocbf_policy_1,riskAccepted_policy_1,ctrlWeight_policy_1,solvable_flag_policy_1,risk_pred_policy_1,final_action_abssum_policy_1,rl_action_abssum_policy_1,cbf_action_abssum_policy_1,downsideAtVol_risk_policy_1,downsideAtValue_risk_policy_1,cvar_policy_1,cvar_raw_policy_1,capital_policy_best,dailyReturn_policy_best,reward_policy_best,strategyVolatility_policy_best,risk_policy_best,risk_wocbf_policy_best,capital_wocbf_policy_best,dailySR_policy_best,dailySR_wocbf_policy_best,riskAccepted_policy_best,ctrlWeight_policy_best,solvable_flag_policy_best,risk_pred_policy_best,final_action_abssum_policy_best,rl_action_abssum_policy_best,cbf_action_abssum_policy_best,downsideAtVol_risk_policy_best,downsideAtValue_risk_policy_best,cvar_policy_best,cvar_raw_policy_best
1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0,0.011287339610951047,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.017,1.0,0,0.011287339610951047,1.0,1.0,0.0,0.0,0.0,0.0,0.0
998927.7546282345,-0.001072245371765457,-0.5671186822438238,0.01203592444710118,0.0068201160274867076,0.006820115838877388,998927.7542505882,-2.3411162018923872,-2.3411169381384656,0.017,1.0,0,0.009355280588530098,1.0,1.0000000894069672,3.938692971402458e-08,0.008510683794394193,-0.0010722453717654234,0.014877446276808056,0.014877446142890605,998927.7546282345,-0.001072245371765457,-0.5671186822438238,0.01203592444710118,0.0068201160274867076,0.006820115838877388,998927.7542505882,-2.3411162018923872,-2.3411169381384656,0.017,1.0,0,0.009355280588530098,1.0,1.0000000894069672,3.938692971402458e-08,0.008510683794394193,-0.0010722453717654234,0.014877446276808056,0.014877446142890605
996146.1905662827,-0.0027845497825686335,-2.6285912447740065,0.022295456689951927,0.00762000206540252,0.007620001970178767,996146.191153629,-4.309731322294104,-4.3097303777608555,0.017,1.0,0,0.00832173975140268,0.9999999999999998,0.9999999981373549,5.591153794175837e-07,0.016825687709875005,-0.00385380943371727,0.017677586648643294,0.017677585300942635,996146.1905662827,-0.0027845497825686335,-2.6285912447740065,0.022295456689951927,0.00762000206540252,0.007620001970178767,996146.191153629,-4.309731322294104,-4.3097303777608555,0.017,1.0,0,0.00832173975140268,0.9999999999999998,0.9999999981373549,5.591153794175837e-07,0.016825687709875005,-0.00385380943371727,0.017677586648643294,0.017677585300942635
999864.9856246047,0.0037331820304487497,3.9377512267156414,0.04379777933434875,0.007548912526376521,0.007548913171453447,999864.9788943919,12.858266326395965,12.858225856534347,0.017,1.0,0,0.007787407478773212,1.0000000000000002,0.9999999422580004,4.471893081151371e-07,0.026981935477069747,-0.00013501437539520378,0.011960699274095179,0.011960707921586981,999864.9856246047,0.0037331820304487497,3.9377512267156414,0.04379777933434875,0.007548912526376521,0.007548913171453447,999864.9788943919,12.858266326395965,12.858225856534347,0.017,1.0,0,0.007787407478773212,1.0000000000000002,0.9999999422580004,4.471893081151371e-07,0.026981935477069747,-0.00013501437539520378,0.011960699274095179,0.011960707921586981
1001385.6995369887,0.001520919258347695,1.7301946143255855,0.03949753190921647,0.00664041517737595,0.006640415868747164,1001385.6925240504,4.269615988170892,4.269614589568538,0.017,1.0,0,0.0026335030123357753,1.0,1.0000000642612576,1.9217525625431049e-07,0.02667362901170931,0.0013856995369887493,0.011841141750325539,0.011841143366745731,1001385.6995369887,0.001520919258347695,1.7301946143255855,0.03949753190921647,0.00664041517737595,0.006640415868747164,1001385.6925240504,4.269615988170892,4.269614589568538,0.017,1.0,0,0.0026335030123357753,1.0,1.0000000642612576,1.9217525625431049e-07,0.02667362901170931,0.0013856995369887493,0.011841141750325539,0.011841143366745731
1003860.2019455369,0.00247107823657985,2.632308071853846,0.038075947742058934,0.002907923878760832,0.0029079234180834335,1003860.1936221665,18.326158250752474,18.3261480566538,0.017,1.0,0,0.00213649767498223,1.0,1.0000000447034836,8.200357009558751e-08,0.027608548187608658,0.003860201945536934,0.0031327902049608286,0.00313278963271759,1003860.2019455369,0.00247107823657985,2.632308071853846,0.038075947742058934,0.002907923878760832,0.0029079234180834335,1003860.1936221665,18.326158250752474,18.3261480566538,0.017,1.0,0,0.00213649767498223,1.0,1.0000000447034836,8.200357009558751e-08,0.027608548187608658,0.003860201945536934,0.0031327902049608286,0.00313278963271759
1013347.3578279515,0.009450674370821782,9.6378763200777,0.0632436188658728,0.004818604292749165,0.0048186052997260306,1013347.3488124129,126.61233761781172,126.61228981428036,0.017,1.0,0,0.008045348483991811,1.0,1.0000000714790076,5.11969924042695e-06,0.03811374540393023,0.01334735782795149,0.0002487986767188109,0.00024879650512583777,1013347.3578279515,0.009450674370821782,9.6378763200777,0.0632436188658728,0.004818604292749165,0.0048186052997260306,1013347.3488124129,126.61233761781172,126.61228981428036,0.017,1.0,0,0.008045348483991811,1.0,1.0000000714790076,5.11969924042695e-06,0.03811374540393023,0.01334735782795149,0.0002487986767188109,0.00024879650512583777
1007833.6009032031,-0.005441132186466469,-5.195781589514998,0.07160465168769097,0.005722353435820967,0.005722355128353591,1007833.5852968077,-8.407268657103982,-8.407270791940869,0.017,1.0,0,0.010086583911916764,1.0000000000000002,1.0000000409781933,7.783101955270712e-07,0.04674623919935105,0.007833600903203175,0.016584850528388935,0.016584859857545584,1007833.6009032031,-0.005441132186466469,-5.195781589514998,0.07160465168769097,0.005722353435820967,0.005722355128353591,1007833.5852968077,-8.407268657103982,-8.407270791940869,0.017,1.0,0,0.010086583911916764,1.0000000000000002,1.0000000409781933,7.783101955270712e-07,0.04674623919935105,0.007833600903203175,0.016584850528388935,0.016584859857545584
995459.9182994568,-0.012277505525373655,-12.18849455824257,0.0970111532891161,0.00998076517711416,0.00998076772910973,995459.8993821403,-6.135526890135282,-6.135525570162855,0.017,1.0,0,0.007685810823100192,1.0,1.0000000001164153,6.109337091848702e-07,0.07298571402503598,-0.004540081700543208,0.032880448486962324,0.03288045698261419,995459.9182994568,-0.012277505525373655,-12.18849455824257,0.0970111532891161,0.00998076517711416,0.00998076772910973,995459.8993821403,-6.135526890135282,-6.135525570162855,0.017,1.0,0,0.007685810823100192,1.0,1.0000000001164153,6.109337091848702e-07,0.07298571402503598,-0.004540081700543208,0.032880448486962324,0.03288045698261419
996919.7214257661,0.001466460978964457,1.6523032964784838,0.09198817252740996,0.007673547846919104,0.00767354748095778,996919.7237757974,3.5309133467737737,3.5309774444310085,0.017,1.0,0,0.0064393151452001056,1.0,0.9999999720603228,3.5746480623569995e-06,0.07038572887942786,-0.0030802785742338745,0.014197550326680554,0.01419752845126222,996919.7214257661,0.001466460978964457,1.6523032964784838,0.09198817252740996,0.007673547846919104,0.00767354748095778,996919.7237757974,3.5309133467737737,3.5309774444310085,0.017,1.0,0,0.0064393151452001056,1.0,0.9999999720603228,3.5746480623569995e-06,0.07038572887942786,-0.0030802785742338745,0.014197550326680554,0.01419752845126222
993709.6632473139,-0.003219976603393159,-3.045950725458222,0.08838476262844686,0.006614763082488321,0.0066147636431139155,993709.6557818423,-5.456212545266395,-5.456222591159105,0.017,1.0,0,0.007295379886046559,1.0,1.0000000214204192,2.1819312886791987e-07,0.06611108332863312,-0.006290336752686088,0.016438687614859452,0.016438686751892008,993709.6632473139,-0.003219976603393159,-3.045950725458222,0.08838476262844686,0.006614763082488321,0.0066147636431139155,993709.6557818423,-5.456212545266395,-5.456222591159105,0.017,1.0,0,0.007295379886046559,1.0,1.0000000214204192,2.1819312886791987e-07,0.06611108332863312,-0.006290336752686088,0.016438687614859452,0.016438686751892008
989169.6780805825,-0.004568723979089954,-4.417930262353834,0.0862512001879582,0.006300734659697901,0.006301315058856329,989168.5733541562,-7.010408791231151,-7.010644339633876,0.017,1.0,0,0.008087021871608197,1.0,0.9999999605934136,7.067515967482995e-05,0.0629190479862422,-0.010830321919417463,0.01786977308105031,0.017872112667451118,989169.6780805825,-0.004568723979089954,-4.417930262353834,0.0862512001879582,0.006300734659697901,0.006301315058856329,989168.5733541562,-7.010408791231151,-7.010644339633876,0.017,1.0,0,0.008087021871608197,1.0,0.9999999605934136,7.067515967482995e-05,0.0629190479862422,-0.010830321919417463,0.01786977308105031,0.017872112667451118
991807.0719989906,0.0026662704860967506,2.88838868966023,0.08405337295373747,0.006767583370255705,0.00676758464957889,991805.9660695693,8.746265752107309,8.746272160467683,0.017,1.0,0,0.004914715639457334,1.0,0.999999962747097,1.442202981871475e-07,0.06256523589092552,-0.008192928001009347,0.011417592356173524,0.01141759284833268,991807.0719989906,0.0026662704860967506,2.88838868966023,0.08405337295373747,0.006767583370255705,0.00676758464957889,991805.9660695693,8.746265752107309,8.746272160467683,0.017,1.0,0,0.004914715639457334,1.0,0.999999962747097,1.442202981871475e-07,0.06256523589092552,-0.008192928001009347,0.011417592356173524,0.01141759284833268
987963.5111960587,-0.00387531094649808,-3.679214309190883,0.08192861121406973,0.004961154238701731,0.004961158989515694,987962.4234393492,-8.135155109740591,-8.135130413692796,0.017,1.0,0,0.0033380679301980645,1.0000000000000002,1.0000000167638063,1.7970990901243372e-06,0.05971207782989519,-0.012036488803941259,0.013945572160272724,0.013945567993491208,987963.5111960587,-0.00387531094649808,-3.679214309190883,0.08192861121406973,0.004961154238701731,0.004961158989515694,987962.4234393492,-8.135155109740591,-8.135130413692796,0.017,1.0,0,0.0033380679301980645,1.0000000000000002,1.0000000167638063,1.7970990901243372e-06,0.05971207782989519,-0.012036488803941259,0.013945572160272724,0.013945567993491208
982515.6266971894,-0.005514256788971818,-5.323407060066003,0.08122801893512042,0.0033546932805238847,0.0033546936066306474,982514.5447982328,-14.428081785924917,-14.428080551250964,0.017,1.0,0,0.00539949926186067,1.0,0.9999999925494194,7.177063577695812e-08,0.0579526378032612,-0.017484373302810607,0.0123786867389237,0.012378687478555871,982515.6266971894,-0.005514256788971818,-5.323407060066003,0.08122801893512042,0.0033546932805238847,0.0033546936066306474,982514.5447982328,-14.428081785924917,-14.428080551250964,0.017,1.0,0,0.00539949926186067,1.0,0.9999999925494194,7.177063577695812e-08,0.0579526378032612,-0.017484373302810607,0.0123786867389237,0.012378687478555871
988710.6369065945,0.006305253617420982,6.49178522996443,0.08388432568973327,0.004873483105544364,0.0048734835055926845,988709.5486524063,49.86192900697928,49.861932403594366,0.017,1.0,0,0.003584649108138131,1.0,0.9999999832361937,3.130062007507743e-07,0.06021542060872819,-0.011289363093405447,0.00380662908892281,0.003806629278257121,988710.6369065945,0.006305253617420982,6.49178522996443,0.08388432568973327,0.004873483105544364,0.0048734835055926845,988709.5486524063,49.86192900697928,49.861932403594366,0.017,1.0,0,0.003584649108138131,1.0,0.9999999832361937,3.130062007507743e-07,0.06021542060872819,-0.011289363093405447,0.00380662908892281,0.003806629278257121
991048.9544037653,0.0023650170331804255,2.5929177307644045,0.08207136911143141,0.0037526909736828014,0.0037526912175944865,991047.8629428814,13.378150764006266,13.378144994842895,0.017,1.0,0,0.004161123576763258,1.0,1.0000000447034836,2.836458193557979e-07,0.059929904356791366,-0.008951045596234719,0.004977783826048203,0.004977784308322717,991048.9544037653,0.0023650170331804255,2.5929177307644045,0.08207136911143141,0.0037526909736828014,0.0037526912175944865,991047.8629428814,13.378150764006266,13.378144994842895,0.017,1.0,0,0.004161123576763258,1.0,1.0000000447034836,2.836458193557979e-07,0.059929904356791366,-0.008951045596234719,0.004977783826048203,0.004977784308322717
982868.5468207825,-0.008254292128186834,-8.090595703965477,0.08472184761175588,0.005148041104330831,0.005148044216596327,982867.4546021713,-10.92388747627863,-10.923884667151997,0.017,1.0,0,0.005626396310442022,0.9999999999999998,1.0000000088475645,2.9780652206746515e-06,0.06125907951447274,-0.017131453179217493,0.018420940796373037,0.018420956765358605,982868.5468207825,-0.008254292128186834,-8.090595703965477,0.08472184761175588,0.005148041104330831,0.005148044216596327,982867.4546021713,-10.92388747627863,-10.923884667151997,0.017,1.0,0,0.005626396310442022,0.9999999999999998,1.0000000088475645,2.9780652206746515e-06,0.06125907951447274,-0.017131453179217493,0.018420940796373037,0.018420956765358605
986197.1406556367,0.0033866114096549036,3.5315558028618494,0.08383318070574865,0.0054062085172015975,0.0054062079796907666,986196.044146243,15.470809986193004,15.470807393167075,0.017,1.0,0,0.005147111493437657,1.0000000000000002,1.0000000223517418,4.3115366671241665e-08,0.06161594926042243,-0.013802859344363316,0.00773643682064833,0.007736436260230144,986197.1406556367,0.0033866114096549036,3.5315558028618494,0.08383318070574865,0.0054062085172015975,0.0054062079796907666,986196.044146243,15.470809986193004,15.470807393167075,0.017,1.0,0,0.005147111493437657,1.0000000000000002,1.0000000223517418,4.3115366671241665e-08,0.06161594926042243,-0.013802859344363316,0.00773643682064833,0.007736436260230144
